like,55,1825962.0,v,4013210
think,55,628491.0,v,5124933
think,55,631737.0,v,5124933
think,55,689344.0,v,5124933
think,55,689809.0,v,5124933
reason,55,5819149.0,n,5125176
do,55,2561995.0,v,5125581
pretend,55,2275799.0,v,4287775
school,55,4146050.0,n,4287803
school,55,8276720.0,n,4287803
pretend,55,2275799.0,v,4287871
school,55,4146050.0,n,4287903
thank,55,892315.0,v,4288121
now,55,49220.0,adv,4288212
have,55,2203362.0,v,4288237
school,55,4146050.0,n,4288305
again,55,40365.0,adv,4219051
again,55,0.0,adv,4219051
alone,55,157967.0,adv,5090582
close,55,0.0,adj,5090824
day,55,15123115.0,n,5090867
day,55,15136453.0,n,5090867
end,55,5868477.0,n,5090917
end,55,15266911.0,n,5090917
day,55,15123115.0,n,5090955
day,55,15136453.0,n,5090955
windows,55,4588365.0,n,5091050
alone,59,157967.0,adv,5090582
alone,60,157967.0,adv,5090582
close,60,0.0,adj,5090824
close,59,0.0,adj,5090824
day,60,15123115.0,n,5090867
day,60,15164957.0,n,5090867
day,60,15136453.0,n,5090867
day,59,15123115.0,n,5090867
day,59,15164957.0,n,5090867
day,59,15136453.0,n,5090867
end,60,5868477.0,n,5090917
end,60,15266911.0,n,5090917
day,60,15123115.0,n,5090955
day,60,15136453.0,n,5090955
day,60,15164957.0,n,5090955
windows,59,4588365.0,n,5091050
windows,60,4588365.0,n,5091050
down,60,95320.0,adv,5091152
now,60,0.0,adv,5091198
tell,60,953216.0,v,5091251
truth,60,5819453.0,n,5091322
truth,60,6724066.0,n,5091322
episode,60,0.0,n,5091416
door,60,3221720.0,n,5091595
needs,60,1189113.0,v,5091609
very,60,31899.0,adv,5091812
very,60,31899.0,adv,5091826
shortly,60,34189.0,adv,5091838
lot,60,,n,5091968
bubbles,60,9229709.0,n,5092012
need,60,1189113.0,v,5092228
towel,60,4459362.0,n,5092263
diaper,60,3188531.0,n,5092322
good,60,1129977.0,adj,5092430
mean,60,931852.0,v,5092490
mean,60,955148.0,v,5092490
mean,60,708840.0,v,5092490
just,60,0.0,adv,5092523
do,60,2523221.0,v,5092586
out,60,233413.0,adv,5092775
out,60,0.0,adv,5092788
out,60,0.0,adv,5092807
tub,60,4493381.0,n,5092843
floor,60,3365592.0,n,5092952
clean,60,,adj,5093196
up,60,0.0,adv,5093213
just,60,246296.0,adv,5093265
place,60,5611822.0,n,5093364
place,60,8642037.0,n,5093364
there,60,109461.0,adv,5093447
out,60,233413.0,adv,5093648
bubble,60,9229709.0,n,5093931
bubbles,60,9229709.0,n,5094147
out,60,0.0,adv,5094211
there,60,109461.0,adv,5094221
up,60,0.0,adv,5094529
up,60,0.0,adv,5094630
go,60,2618001.0,v,5095652
go,60,2617798.0,v,5095652
sleep,60,14742.0,v,5095684
guy,60,10153414.0,n,5095812
man,60,10287213.0,n,5095861
bubbles,60,9229709.0,n,5095937
bubbles,60,9229709.0,n,5096170
bubbles,60,9229709.0,n,5096217
right,60,0.0,adv,5096251
up,60,0.0,adv,5096266
do,60,2523221.0,v,5096380
water,60,7935504.0,n,5096418
water,60,14845743.0,n,5096418
water,60,7935504.0,n,5096604
water,60,14845743.0,n,5096604
take,60,2109045.0,v,5096702
take,60,2599636.0,v,5096702
bath,60,257770.0,n,5096739
want,60,1188725.0,v,5097079
want,60,709205.0,v,5097079
take,60,2599636.0,v,5097147
take,60,2109045.0,v,5097147
bath,60,2806530.0,n,5097177
bath,60,257770.0,n,5097177
do,60,2523221.0,v,5096554
know,60,0.0,v,5097289
time,60,15245515.0,n,5097334
little,60,1554510.0,adj,5097380
miss,60,,v,5097433
say,60,979870.0,v,5097659
wants,60,1188725.0,v,5097791
wants,60,709205.0,v,5097791
soap,60,4253437.0,n,5097804
wants,60,1188725.0,v,5097923
wants,60,2632567.0,v,5097923
wants,60,709205.0,v,5097923
eyes,60,5311054.0,n,5098195
soap,60,4253437.0,n,5098375
get,60,2359340.0,v,5098432
get,60,2210855.0,v,5098432
little,60,1554510.0,adj,5098460
scrub,60,36780.0,v,5098580
scrub,60,1251228.0,v,5098580
scrub,60,36780.0,v,5098670
scrub,60,1251228.0,v,5098670
hair,60,5254393.0,n,5098708
hair,60,1900150.0,n,5098708
want,60,709205.0,v,5098812
soap,60,4253437.0,n,5097936
mess,60,0.0,v,5098123
up,60,0.0,adv,5098133
eyes,60,5311054.0,n,5098294
too,60,,adv,5098952
second,60,0.0,adj,5099066
got,60,2359340.0,v,5099402
think,60,628491.0,v,5099522
think,60,631737.0,v,5099522
think,60,739340.0,v,5099522
want,60,709205.0,v,5099553
little,60,1554510.0,adj,5099582
bit,60,9222051.0,n,5099602
soap,60,4253437.0,n,5099638
want,60,709205.0,v,5099720
little,60,1554510.0,adj,5099756
bit,60,9222051.0,n,5099787
soap,60,4253437.0,n,5099826
little,60,1554510.0,adj,5099885
bit,60,9222051.0,n,5099904
soap,60,4253437.0,n,5099926
there,60,109151.0,adv,5100008
there,60,109151.0,adv,5100063
get,60,2359340.0,v,5100119
quick,60,,adv,5100148
there,60,109151.0,adv,5100186
little,60,1554510.0,adj,5100357
bit,60,9222051.0,n,5100376
little,60,1554510.0,adj,5100439
bit,60,9222051.0,n,5100451
there,60,109151.0,adv,5100497
scrub,60,36780.0,v,5100619
scrub,60,1251228.0,v,5100619
chest,60,0.0,n,5100642
know,60,608670.0,v,5100708
scrub,60,36780.0,v,5100767
scrub,60,1251228.0,v,5100767
ears,60,5320899.0,n,5100792
scrub,60,36780.0,v,5100909
ears,60,5320899.0,n,5100936
think,60,631737.0,v,5101076
want,60,709205.0,v,5101100
wanted,60,709205.0,v,5101167
have,60,2203362.0,v,5101206
nose,60,5598147.0,n,5101269
always,60,19339.0,adv,5101331
get,60,2359340.0,v,5101342
up,60,96333.0,adv,5101367
wants,60,709205.0,v,5101545
there,60,109151.0,adv,5101616
have,60,2203362.0,v,5101688
soap,60,4253437.0,n,5101724
just,60,0.0,adv,5101781
now,60,49220.0,adv,5101804
soap,60,4253437.0,n,5101942
did,60,2617567.0,v,5102008
scrub,60,36780.0,v,5102043
duck,60,1846331.0,n,5102068
duck,60,1846331.0,n,5102112
did,60,0.0,v,5102201
scrub,60,36780.0,v,5102231
duck,60,1846331.0,n,5102271
scrub,60,36780.0,v,5102369
know,60,608670.0,v,5102412
just,60,246296.0,adv,5102455
soap,60,4253437.0,n,5102569
scrub,60,36780.0,v,5102609
good,60,1123148.0,adj,5102673
get,60,2359340.0,v,5102750
on,60,0.0,adv,5102776
